199_40_Pancreas	199_41_Liver	199_42_Stomach	199_43_Duodenum	199_44_Jejunum	199_45_Ileum	199_46_Colon	199_47_Kidneys	199_48_Quadriceps	199_49_Thymus	199_50_Heart	199_51_Esophagus	199_52_Brain	199_53_Pancreas	199_54_Liver	199_55_Stomach	199_56_Duodenum	199_57_Jejunum	199_58_Ileum	199_59_Colon	199_60_Kidneys	199_61_Quadriceps	199_62_Thymus	199_63_Heart	199_64_Esophagus	199_65_Brain	199_66_Pancreas	199_67_Liver	199_68_Stomach	199_69_Duodenum	199_70_Jejunum	199_71_Ileum	199_72_Colon	199_73_Kidneys	199_74_Quadriceps	199_75_Thymus	199_76_Heart	199_77_Esophagus	199_78_Brain	199_79_Unknown
ENSRNOG00000000054	0.344292297394844	0.200531267933762	0.640149588864503	0.519202736023981	0.714806349358083	0.706883947395861	3.02030383142279	1.58366827629978	1.53462031933141	4.44624849536456	0.631834383372427	1.88095193825853	30.5070547226886	0.334941391556207	0.292809385339737	0.497021015178359	0.565297338956614	0.962111943775167	0.679711088194937	3.09449212788355	2.01561521440762	1.49378058851733	3.53207958808467	0.60485923677671	1.92455180915631	29.1229415965003	0.233525449771977	0.224046274653353	0.722971473217367	0.372284565017572	0.812888692929629	2.18329250644304	1.70064339296858	1.79150147158514	1.35342421259511	3.42759631357816	1.05296314019149	2.57263644522039	31.8164326950901	1.35686969535345
ENSRNOG00000000055	0	0	0	0	0.014386649727017	0.00858816370814498	0	0	0	0.0277368495085302	0.0230788149657033	0	0	0	0.00603730691422138	0	0	0	0.00741044331829321	0.0320488252600138	0.0143236788631649	0	0.0575752162875473	0.0261589608138206	0	0	0	0	0	0	0.0197033306552241	0.00908160719997529	0.00810714895843598	0.00845725287200608	0	0.0270391324675124	0.031233108362657	0	0	0.00189295437409801
ENSRNOG00000000060	0.0628674491502361	0	0.094279288887652	0.0771726142375135	0.100706548089119	0.114925245258086	0.63513099336929	0.055969820967317	0.0636136108164609	0.070445293922233	0.0606682620954715	0.27532774748422	77.4431050035811	0.0432743813822186	0.0212982771696143	0.0797058539459895	0.25245185585225	0.183243918926055	0.138118049932444	0.642400897434054	0.113140968997809	0.00359912439407607	0.106554132921051	0.0337664137035542	0.142173158122447	72.9866144281759	0.0657273616907882	0.0800165266619116	0.177846035010791	0.0767255419858193	0.122598501854728	0.101380390579316	0.279527740129407	0.0540945042190578	0.024093360320225	0.102748703376547	0.0730583143439543	0.166523299075938	73.7346028747096	0.661145864393297
ENSRNOG00000000062	0.0414982403343744	0.595206511563396	2.95806355896998	2.46861037022484	2.14167103632864	2.91482276254441	1.73470051634196	1.2057623832933	0.976646920320848	0.707447258203364	0.945125841619429	2.07944007304759	1.75655681496138	0.365221856812933	0.40550578107187	2.36474118533699	2.45584515979228	2.85508997658856	2.51009058781336	2.13801274290136	1.64126828142198	0.722704178330475	4.34253072291008	0.769286990463583	1.82739435757874	2.09787172843343	0.15255375881509	0.607317354886469	3.39495842528653	1.70261879632651	2.33694973933799	2.3823465091527	3.83147237754417	1.97022077755961	0.626833436196416	3.24662726270631	1.19799339989287	2.02134472582418	2.76726883677436	1.60863262710849
ENSRNOG00000000064	122.819527669165	75.8329042818314	84.0636192354758	154.568983392047	132.364774932795	113.280065388467	131.003801393838	196.617743134404	125.232447384254	128.59244700215	229.32741268585	92.2888046250059	82.7800120729614	23.9589250616749	53.7830132394015	73.1328046942315	134.254059290687	108.576741389664	117.541298534632	88.62372624637	122.531186603991	140.298619725285	59.5233776858881	190.573368092115	101.185748992973	70.4848870494637	21.5536036576439	69.6564070785542	117.939262110656	188.161107400904	106.188658700565	52.9200078656356	118.951805294779	137.628865256378	180.997985506769	79.5336767865828	253.539509998184	110.285952149182	68.998334686289	15.979689841344
ENSRNOG00000000065	0	0.00594166719803739	0	0.00334871304383688	0	0	0	0.00277657075294784	0	0.00835257399972785	0	0	0.00840457806201618	0.00255237638179305	0	0	0.00698098379527123	0	0.00662209828443223	0.00480732378900207	0	0	0.0345851125616169	0	0.00347611633551216	0.00435530603241818	0.00320351846896279	0	0	0	0.0117883174860315	0.00815491258773291	0.0256726383683806	0	0	0	0	0	0.00431497018988134	0.00429069658128881
ENSRNOG00000000066	0.0599101032873267	0.846390492360426	1.59542261382399	1.86310216620743	1.67919682431745	2.29335200693683	2.14374877624646	1.34166821488495	1.80671941377262	2.59402581199095	1.21391802789663	3.563415741728	3.05516185319476	0.394574185203553	1.08034253170595	1.10232927637425	1.71456208981068	1.9644203777588	1.7517026652391	2.29131295706176	2.00611974190282	1.23090054277402	5.1525820298446	0.942790301983822	2.76420770999927	3.19402306941068	0.199833272770817	1.02372659262603	1.34139655835738	1.02802030175684	1.92233777290071	3.53756401277405	2.37015877778609	2.11574935528167	1.27654202910136	4.42553343828985	1.10700999727122	3.03953073182155	3.32017342610506	1.87768454214695
ENSRNOG00000000068	0.1899379230017	2.95672213942336	3.42620431573443	1.88015015988514	1.9088982767005	2.50493313101931	3.58147347341575	3.31420253190022	5.19990965690954	9.37694628271334	3.03051097834076	5.6740346376652	2.42579577506239	1.20344546401542	3.68544046519248	3.48558798333506	1.93649243511617	3.0397985449554	1.7499683061646	4.92537029537645	4.37548154216703	5.01516389568136	11.0534419574819	2.91805877159885	3.9759818645588	2.35879415346648	0.365974368540473	3.47950653817707	3.65027033938328	1.15228509151793	2.20138408824862	9.21505122413819	4.72528555021174	4.15458558067076	4.78794626183887	10.2864585372836	3.68849430150648	4.59205907630183	2.65096077665619	2.20264170970044
ENSRNOG00000000070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000073	0.129837023207089	4.71293042148326	1.71669697967372	3.5263470493895	3.24604846256437	6.4565814757834	1.69109884631661	2.03434955009405	1.3900580018069	1.62355127066408	1.12740702089945	2.07909932088486	1.92269382316403	0.417197521314901	4.19643141429338	1.32883345391773	2.7659307190706	10.1220295465034	3.7194118697561	1.86933675780491	1.93707639097813	1.22989278794367	4.15501144208466	1.04061947686408	1.80758049446632	2.45005761169124	0.162385246530183	5.06383376608292	1.66011331802533	3.83920847381866	2.98227591943045	3.99034700031567	2.75187037457911	1.81655408858334	1.4299003282183	3.89035175209358	1.17124156359964	2.01487949805314	2.28320763547312	1.5464175266798
